GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
Igl-v1,0.002,<0.00003,,0.001,0.002,0.002,10.8,7.5,7.5,683.9,538.9,684.4,20.8,33.6,18.7,26520.0,27310.0,27.4,32.9,32.0,16794.3,16194.0,17404.7,40.3,57.2,22.5,19420.5,16233.4,18123.1
H2-Ab1,0.002,<0.00003,,0.000,0.003,0.002,15.6,15.2,23.5,1646.9,1559.5,1600.2,21.5,40.6,22.4,65900.0,65460.0,43.1,49.6,30.1,15979.3,13891.9,16691.4,40.5,69.2,61.5,27863.9,23506.4,25939.1
Ly6d,0.002,<0.00003,,0.001,0.003,0.003,17.2,18.3,20.2,1596.9,1378.8,1624.2,23.2,51.2,16.5,50040.0,43240.0,34.8,25.8,29.3,11250.7,11242.8,12004.4,92.3,120.2,76.7,37016.0,37070.1,35241.6
Ms4a1,0.002,<0.00003,0.004,0.001,,0.001,6.3,5.5,9.0,1630.1,1549.0,1460.3,6.6,13.7,9.0,9080.0,17374.0,36.9,43.5,43.6,567.6,552.6,549.9,26.7,32.8,19.8,20123.8,20785.0,19473.2
H2-Aa,0.002,<0.00003,0.005,0.001,,0.002,11.3,7.8,10.6,2020.6,1959.9,1977.7,4.5,5.6,6.9,10804.0,11716.0,24.8,17.4,19.3,475.4,503.0,308.5,79.6,53.9,58.8,36083.5,32156.8,31212.2
H2-Eb1,0.003,<0.00003,,0.001,0.002,0.005,15.9,36.5,18.7,1745.2,1794.1,1920.0,22.2,55.5,24.1,23240.0,24350.0,27.3,30.7,31.4,11578.8,10866.1,13623.6,97.0,84.8,83.9,20923.5,18653.4,18742.9
Scd1,0.003,0.000166666666667,,0.003,0.004,0.001,8.4,7.6,10.6,1032.2,988.4,1148.3,10.7,9.8,9.0,2860.0,3026.0,22.1,29.9,27.5,6064.9,6361.0,6950.7,47.8,40.5,29.9,38820.3,31924.3,37958.4
Cd74,0.003,<0.00003,0.004,0.001,,0.004,14.1,9.7,8.0,3051.6,2887.3,3065.3,47.8,83.7,44.5,62640.0,53100.0,,,,,,,84.4,68.3,76.7,20061.1,14735.3,17402.3
Blnk,0.004,<0.00003,,0.001,0.004,0.006,6.9,5.9,6.7,445.8,440.1,466.7,7.3,16.4,6.2,19394.0,17568.0,29.6,31.0,25.6,5688.9,6766.1,7043.5,60.9,126.7,67.8,13840.8,13123.1,16480.9
H2-DMb2,0.004,0.0006,0.007,0.002,0.006,0.002,11.0,14.4,9.9,1873.9,1683.0,1780.1,12.3,8.8,9.1,4635.0,3678.0,30.9,31.4,31.8,5056.7,4522.3,5897.1,31.4,20.7,23.5,10987.4,11369.5,10017.0
Ly86,0.005,0.000366666666667,0.007,0.002,0.008,0.002,8.4,6.5,6.5,1008.1,923.1,951.2,7.0,14.7,6.2,4253.0,5358.0,26.9,32.9,31.2,3695.9,3748.0,3873.8,22.0,27.5,21.3,13924.0,11011.2,10578.7
Cr2,0.005,<0.00003,0.005,0.002,,0.007,7.3,5.9,5.7,1156.2,1210.5,1113.1,2.5,5.1,2.3,1508.2,2261.0,26.3,35.9,27.3,33.6,34.9,33.1,45.8,41.8,42.2,5572.5,6067.8,5787.5
H2-DMb1,0.005,<0.00003,,0.001,0.008,0.006,,,,,,,3.4,7.5,3.2,4535.0,5438.0,26.9,22.0,17.7,2689.5,2514.7,2840.4,100.7,144.9,146.5,24687.2,20693.7,24267.0
Lyn,0.005,0.0002,0.007,0.001,,0.007,5.0,7.3,5.9,832.2,810.0,817.8,2.2,12.7,3.0,3884.0,4930.0,15.8,19.4,21.0,14.2,20.7,14.4,19.3,32.0,39.0,4445.0,5513.8,3830.7
Plac8,0.005,<0.00003,,0.001,0.009,0.005,4.7,6.9,9.2,373.4,326.6,281.0,9.9,15.3,7.7,7926.0,9510.0,29.6,25.7,34.0,3409.1,3604.0,3013.5,75.7,31.3,58.6,10835.9,10978.3,8403.0
Stk23,0.005,6.66666666666667E-05,,0.002,0.009,0.005,,,,,,,5.4,1.8,3.0,1911.2,1926.6,23.2,27.8,27.4,2553.1,2831.5,3230.7,32.3,39.2,42.8,9854.1,6782.1,7146.0
